Name,Gender
Reece Shearsmith,m
Reginald D. Hunter,m
Rhod Gilbert,m
Rhys Thomas,m
Rich Hall,m
Richard Bacon,m
Richard Coles,m
Richard E. Grant,m
Richard Hammond,m
Richard Madeley,m
Richard Osman,m
Richard Wilson,m
Rick Edwards,m
Ricky Tomlinson,m
Rob Beckett,m
Rob Brydon,m
Rob Delaney,m
Robert Rinder,m
Robert Webb,m
Roisin Conaty,f
Roman Kemp,m
Romesh Ranganathan,m
Ronan Keating,m
Ronni Ancona,f
Ronnie Corbett,m
Rory Reid,m
Rose Matafeo,f
Rosie Jones,f
Roy Joseph Butler,m
Rufus Hound,m
Russell Howard,m
Ruth Jones,f
Ruth Madeley,f
Rylan Clark-Neal,m
Sally Lindsay,f
Sally Phillips,f
Sam Quek,f
Samantha Morton,f
Samson Kayo,m
Sanjeev Bhaskar,m
Sara Barron,f
Sara Cox,f
Sara Pascoe,f
Sarah Greene,f
Sarah Hadland,f
Sarah Kendall,f
Sarah Millican,f
Scarlett Moffatt,f
Sean Lock,m
Seann Walsh,m
Shane Richie,m
Shaparak Khorsandi,f
Sharon Osbourne,f
Shaun Ryder,m
Shaun Williamson,m
Shazia Mirza,f
Sheila Hancock,f
Shirley Ballas,f
Sian Gibson,f
Simon Day,m
Simon Gregson,m
Sindhu Vee,f
Snoochie Shy,f
Sophie Ellis-Bextor,f
Sophie Hermann,f
Sophie Willan,f
Stacey Dooley,f
Stacey Solomon,f
Steph McGovern,f
Stephen Bailey,m
Stephen Hendry,m
Stephen Mangan,m
Stephen Merchant,m
Stephen Mulhern,m
Steve Backshall,m
Steve Davis,m
Steve Jones,m
Steve Pemberton,m
Steven Bartlett,m
Sue Johnston,f
Sue Perkins,f
Suggs,m
Susan Calman,f
Susanna Reid,f
Susie Dent,f
Sylvan Richardson,m
Tara Palmer-Tomkinson,f
Terry Christian,m
Terry Frazier,m
Terry Wogan,m
Tess Daly,f
Tinchy Stryder,m
Tom Allen,m
Tom Courtenay,m
Tom Davis,m
Tomasz Schafernaker,m
Tracy-Ann Oberman,f
Trevor Noah,m
Trinny Woodall,f
Trisha Goddard,f
Ugo Monye,m
Ulrika Jonsson,f
Vernon Kay,m
Vic Reeves,m
Vicki Pepperdine,f
Victoria Coren,f
Victoria Derbyshire,f
Warwick Davis,m
Wendy Richard,f
Dr Xand van Tulleken,m
Yung Filly,m
Mr. Motivator,m
lee,m
rob,m
angus,m
david,m
